,Date,Portfolio_Value,Cash,Exposure,Total_Shares,Price
0,2014-12-31,100000.0,100000.0,0.0,0,20.14060401916504
1,2015-01-02,100000.0,100000.0,0.0,0,20.122236251831055
2,2015-01-05,100000.0,100000.0,0.0,0,19.043106079101562
3,2015-01-06,100000.0,100000.0,0.0,0,18.517324447631836
4,2015-01-07,100000.0,100000.0,0.0,0,19.206125259399414
5,2015-01-08,100000.0,100000.0,0.0,0,20.227848052978516
6,2015-01-09,100000.0,100000.0,0.0,0,19.713544845581055
7,2015-01-12,100000.0,100000.0,0.0,0,19.252044677734375
8,2015-01-13,100000.0,100000.0,0.0,0,19.079843521118164
9,2015-01-14,100000.0,100000.0,0.0,0,18.740032196044922
10,2015-01-15,100000.0,100000.0,0.0,0,18.234909057617188
11,2015-01-16,100000.0,100000.0,0.0,0,18.91912269592285
12,2015-01-20,100000.0,100000.0,0.0,0,19.049997329711914
13,2015-01-21,100000.0,100000.0,0.0,0,19.3461856842041
14,2015-01-22,100000.0,100000.0,0.0,0,20.200298309326172
15,2015-01-23,100000.0,100000.0,0.0,0,19.8627872467041
16,2015-01-26,100000.0,100000.0,0.0,0,20.01891326904297
17,2015-01-27,100000.0,100000.0,0.0,0,19.215309143066406
18,2015-01-28,100000.0,100000.0,0.0,0,18.46451187133789
19,2015-01-29,100000.0,100000.0,0.0,0,18.983415603637695
20,2015-01-30,100000.0,100000.0,0.0,0,18.273944854736328
21,2015-02-02,100000.0,100000.0,0.0,0,18.92601203918457
22,2015-02-03,100000.0,100000.0,0.0,0,19.743392944335938
23,2015-02-04,100000.0,100000.0,0.0,0,19.529863357543945
24,2015-02-05,100000.0,100000.0,0.0,0,20.13600730895996
25,2015-02-06,100000.0,100000.0,0.0,0,19.93855094909668
26,2015-02-09,100000.0,100000.0,0.0,0,19.679101943969727
27,2015-02-10,100000.0,100000.0,0.0,0,20.301321029663086
28,2015-02-11,100000.0,100000.0,0.0,0,20.349536895751953
29,2015-02-12,100000.0,100000.0,0.0,0,20.916648864746094
30,2015-02-13,100000.0,100000.0,0.0,0,21.19906234741211
31,2015-02-17,100000.0,100000.0,0.0,0,21.290904998779297
32,2015-02-18,100000.0,100000.0,0.0,0,21.297792434692383
33,2015-02-19,100000.0,100000.0,0.0,0,21.258756637573242
34,2015-02-20,100000.0,100000.0,0.0,0,21.63071060180664
35,2015-02-23,100000.0,100000.0,0.0,0,21.62152671813965
36,2015-02-24,100000.0,100000.0,0.0,0,21.798320770263672
37,2015-02-25,100000.0,100000.0,0.0,0,21.73862075805664
38,2015-02-26,100000.0,100000.0,0.0,0,21.658262252807617
39,2015-02-27,100000.0,100000.0,0.0,0,21.43785285949707
40,2015-03-02,100000.0,100000.0,0.0,0,21.841943740844727
41,2015-03-03,100000.0,100000.0,0.0,0,21.5687198638916
42,2015-03-04,100000.0,100000.0,0.0,0,21.302383422851562
43,2015-03-05,100000.0,100000.0,0.0,0,21.35748863220215
44,2015-03-06,100000.0,100000.0,0.0,0,20.45974349975586
45,2015-03-09,100000.0,100000.0,0.0,0,20.712305068969727
46,2015-03-10,100000.0,100000.0,0.0,0,19.7066593170166
47,2015-03-11,100000.0,100000.0,0.0,0,19.559711456298828
48,2015-03-12,100000.0,100000.0,0.0,0,20.31968879699707
49,2015-03-13,100000.0,100000.0,0.0,0,19.929370880126953
50,2015-03-16,100000.0,100000.0,0.0,0,20.74445343017578
51,2015-03-17,100000.0,100000.0,0.0,0,20.54469871520996
52,2015-03-18,100000.0,100000.0,0.0,0,21.284011840820312
53,2015-03-19,100000.0,100000.0,0.0,0,20.974050521850586
54,2015-03-20,100000.0,100000.0,0.0,0,21.53428077697754
55,2015-03-23,100000.0,100000.0,0.0,0,21.417184829711914
56,2015-03-24,100000.0,100000.0,0.0,0,21.04064178466797
57,2015-03-25,100000.0,100000.0,0.0,0,20.13142204284668
58,2015-03-26,100000.0,100000.0,0.0,0,19.984472274780273
59,2015-03-27,100000.0,100000.0,0.0,0,20.103862762451172
60,2015-03-30,100000.0,100000.0,0.0,0,20.847766876220703
61,2015-03-31,100000.0,100000.0,0.0,0,20.30591583251953
62,2015-04-01,100000.0,100000.0,0.0,0,20.108457565307617
63,2015-04-02,100000.0,100000.0,0.0,0,20.271474838256836
64,2015-04-06,100000.0,100000.0,0.0,0,20.700828552246094
65,2015-04-07,100000.0,100000.0,0.0,0,20.533218383789062
66,2015-04-08,100000.0,100000.0,0.0,0,20.742156982421875
