,Date,Type,Shares,Price,Value,Cash
0,2015-08-21,ENTER_Entry1,1138,17.57136344909668,19996.21160507202,80003.78839492798
1,2015-08-24,ENTER_Entry2,971,15.44756031036377,14999.58106136322,65004.20733356476
2,2015-10-23,EXIT_Entry1,-1138,20.014314651489258,22776.290073394775,87780.49740695953
3,2015-10-23,EXIT_Entry2,-971,20.014314651489258,19433.89952659607,107214.3969335556
4,2016-01-07,ENTER_Entry1,1224,16.33381462097168,19992.589096069336,87221.80783748627
5,2016-01-13,ENTER_Entry2,998,15.018202781677246,14988.166376113892,72233.64146137238
6,2016-03-22,EXIT_Entry1,-1224,18.944377899169922,23187.918548583984,95421.56000995636
7,2016-03-22,EXIT_Entry2,-998,18.944377899169922,18906.489143371582,114328.04915332794
8,2016-06-27,ENTER_Entry1,1142,17.511667251586914,19998.324001312256,94329.72515201569
9,2016-07-25,EXIT_Entry1,-1142,22.308034896850586,25475.77585220337,119805.50100421906
10,2018-02-05,ENTER_Entry1,494,40.412654876708984,19963.85150909424,99841.64949512482
11,2018-02-08,ENTER_Entry2,402,37.26287841796875,14979.677124023438,84861.97237110138
12,2018-12-20,ENTER_Entry3,655,30.501358032226562,19978.3895111084,64883.58285999298
13,2019-06-28,EXIT_Entry1,-494,49.73609161376953,24569.62925720215,89453.21211719513
14,2019-06-28,EXIT_Entry2,-402,49.73609161376953,19993.90882873535,109447.12094593048
15,2019-06-28,EXIT_Entry3,-655,49.73609161376953,32577.140007019043,142024.26095294952
16,2019-08-05,ENTER_Entry1,447,44.680152893066406,19972.028343200684,122052.23260974884
17,2020-02-27,ENTER_Entry2,303,49.44842529296875,14982.872863769531,107069.35974597931
18,2020-02-27,ENTER_Entry3,404,49.44842529296875,19977.163818359375,87092.19592761993
19,2020-03-09,ENTER_Entry4,538,37.10820007324219,19964.211639404297,67127.98428821564
20,2020-03-12,ENTER_Entry5,575,26.0710391998291,14990.847539901733,52137.136748313904
21,2020-06-01,REDUCE_Entry1,-44,39.967159271240234,1758.5550079345703,53895.691756248474
22,2020-06-01,REDUCE_Entry2,-30,39.967159271240234,1199.014778137207,55094.70653438568
23,2020-06-01,REDUCE_Entry3,-40,39.967159271240234,1598.6863708496094,56693.39290523529
24,2020-06-01,REDUCE_Entry4,-53,39.967159271240234,2118.2594413757324,58811.65234661102
25,2020-06-01,REDUCE_Entry5,-57,39.967159271240234,2278.1280784606934,61089.780425071716
26,2020-06-02,REDUCE_Entry1,-40,40.93960189819336,1637.5840759277344,62727.36450099945
27,2020-06-02,REDUCE_Entry2,-27,40.93960189819336,1105.3692512512207,63832.73375225067
28,2020-06-02,REDUCE_Entry3,-36,40.93960189819336,1473.825668334961,65306.55942058563
29,2020-06-02,REDUCE_Entry4,-48,40.93960189819336,1965.1008911132812,67271.66031169891
30,2020-06-02,REDUCE_Entry5,-51,40.93960189819336,2087.9196968078613,69359.58000850677
31,2020-08-10,EXIT_Entry1,-363,51.96436309814453,18863.063804626465,88222.64381313324
32,2020-08-10,EXIT_Entry2,-246,51.96436309814453,12783.233322143555,101005.8771352768
33,2020-08-10,EXIT_Entry3,-328,51.96436309814453,17044.311096191406,118050.1882314682
34,2020-08-10,EXIT_Entry4,-437,51.96436309814453,22708.42667388916,140758.61490535736
35,2020-08-10,EXIT_Entry5,-467,51.96436309814453,24267.357566833496,165025.97247219086
36,2020-09-08,ENTER_Entry1,397,50.309452056884766,19972.852466583252,145053.1200056076
37,2020-09-23,ENTER_Entry2,326,45.94826126098633,14979.133171081543,130073.98683452606
38,2020-11-24,EXIT_Entry1,-397,63.9576416015625,25391.183715820312,155465.17055034637
39,2020-11-24,EXIT_Entry2,-326,63.9576416015625,20850.191162109375,176315.36171245575
40,2021-09-30,ENTER_Entry1,191,104.35894012451172,19932.55756378174,156382.804148674
41,2021-10-28,EXIT_Entry1,-191,126.3271713256836,24128.489723205566,180511.29387187958
42,2022-01-19,ENTER_Entry1,166,119.98825073242188,19918.04962158203,160593.24425029755
43,2022-01-25,ENTER_Entry2,141,106.23095703125,14978.56494140625,145614.6793088913
44,2022-05-09,ENTER_Entry3,256,77.83760833740234,19926.427734375,125688.2515745163
45,2024-05-17,EXIT_Entry1,-166,134.86424255371094,22387.464263916016,148075.7158384323
46,2024-05-17,EXIT_Entry2,-141,134.86424255371094,19015.858200073242,167091.57403850555
47,2024-05-17,EXIT_Entry3,-256,134.86424255371094,34525.24609375,201616.82013225555
48,2024-08-02,ENTER_Entry1,149,134.1006317138672,19980.99412536621,181635.82600688934
