,Date,Type,Shares,Price,Value,Cash,PnL,PnL_Pct
0,2020-02-25,ENTER_Entry1,346,57.77249526977539,-19989.283363342285,80010.71663665771,0.0,0.0
1,2020-02-27,ENTER_Entry2,303,49.448429107666016,-14982.874019622803,65027.84261703491,0.0,0.0
2,2020-03-09,ENTER_Entry3,538,37.10820007324219,-19964.211639404297,45063.630977630615,0.0,0.0
3,2020-03-12,ENTER_Entry4,767,26.071041107177734,-19996.488529205322,25067.142448425293,0.0,0.0
4,2020-03-16,ENTER_Entry5,685,21.889562606811523,-14994.350385665894,10072.7920627594,0.0,0.0
5,2020-06-08 00:00:00,EXIT_Entry1,-346,47.14375686645508,16311.739875793457,26384.531938552856,-3677.543487548828,-18.397575444315116
6,2020-06-08 00:00:00,EXIT_Entry2,-303,47.14375686645508,14284.558330535889,24357.350393295288,-698.3156890869141,-4.660759265360859
7,2020-06-08 00:00:00,EXIT_Entry3,-538,47.14375686645508,25363.341194152832,35436.13325691223,5399.129554748535,27.04404086807024
8,2020-06-08 00:00:00,EXIT_Entry4,-767,47.14375686645508,36159.261516571045,46232.053579330444,16162.772987365723,80.8280562047663
9,2020-06-08 00:00:00,EXIT_Entry5,-685,47.14375686645508,32293.47345352173,42366.26551628113,17299.123067855835,115.37094054033332
10,2020-06-11,ENTER_Entry1,533,37.4971809387207,-19985.997440338135,114499.16899299622,0.0,0.0
11,2020-07-15 00:00:00,EXIT_Entry1,-533,45.98720169067383,24511.17850112915,139010.34749412537,4525.181060791016,22.641757431919586
12,2020-09-08,ENTER_Entry1,397,50.30945587158203,-19972.853981018066,119037.4935131073,0.0,0.0
13,2020-11-11 00:00:00,EXIT_Entry1,-397,60.75489044189453,24119.69150543213,143157.18501853943,4146.8375244140625,20.762368404411124
14,2021-09-30,ENTER_Entry1,191,104.35894012451172,-19932.55756378174,123224.62745475769,0.0,0.0
15,2021-10-28 00:00:00,EXIT_Entry1,-191,126.32718658447266,24128.492637634277,147353.12009239197,4195.935073852539,21.050660761550844
16,2022-01-19,ENTER_Entry1,166,119.98825073242188,-19918.04962158203,127435.07047080994,0.0,0.0
17,2022-01-25,ENTER_Entry2,141,106.23096466064453,-14978.566017150879,112456.50445365906,0.0,0.0
18,2022-02-23,ENTER_Entry3,208,95.99842071533203,-19967.671508789062,92488.83294487,0.0,0.0
19,2022-05-06,ENTER_Entry4,232,86.14666748046875,-19986.02685546875,72502.80608940125,0.0,0.0
20,2022-05-11,ENTER_Entry5,201,74.59600830078125,-14993.797668457031,57509.008420944214,0.0,0.0
21,2024-02-09 00:00:00,EXIT_Entry1,-166,118.61051940917969,19689.346221923828,77198.35464286804,-228.70339965820312,-1.1482218590839977
22,2024-02-09 00:00:00,EXIT_Entry2,-141,118.61051940917969,16724.083236694336,74233.09165763855,1745.517219543457,11.653433429774186
23,2024-02-09 00:00:00,EXIT_Entry3,-208,118.61051940917969,24670.988037109375,82179.99645805359,4703.3165283203125,23.55465696763932
24,2024-02-09 00:00:00,EXIT_Entry4,-232,118.61051940917969,27517.640502929688,85026.6489238739,7531.6136474609375,37.68439671339716
25,2024-02-09 00:00:00,EXIT_Entry5,-201,118.61051940917969,23840.714401245117,81349.72282218933,8846.916732788086,59.003842311408874
26,2024-04-19,ENTER_Entry1,178,111.94757080078125,-19926.667602539062,150025.1132183075,0.0,0.0
27,2024-05-15 00:00:00,EXIT_Entry1,-178,135.36155700683594,24094.357147216797,174119.4703655243,4167.689544677734,20.915135575135935
28,2024-08-02,ENTER_Entry1,149,134.10064697265625,-19980.99639892578,154138.4739665985,0.0,0.0
29,2024-09-24 00:00:00,EXIT_Entry1,-149,161.6311492919922,24083.041244506836,178221.51521110535,4102.044845581055,20.529731168970077
